Codigo;Nome;Numero;;;;;;
NT;BINTER CANERIAS;169;;;;;;
EP;BLACKHAWK AIRWAYS INC.;?;;;;;;
0B;BLUE AIR;169;;;;;;
SI;Blue Islands;169;;;;;;
BV;Blue Panorama Airlines;169;;;;;;
BM;bmi regional;169;;;;;;
OB;BOLIVIANA DE AVIACION;930;;;;;;
YB;Borajet Airlines;169;;;;;;
6Z;BOSPHOROUS AIRWAYS;?;;;;;;
BO;BOURAQ INDONESIA;?;;;;;;
5Q;BQB LINHAS AEREAS;567;;;;;;
BRA;BRA TRANSPORTES AEREOS LTDA;674;;;;;;
TF;Braathens Regional Aviatio;169;;;;;;
BU;BRAATHENS S.A.F.E.;?;;;;;;
1X;Branson AirExpress;169;;;;;;
Z0;BRAVA;233;;;;;;
C6;BRIGHT AIR;?;;;;;;
DB;BRIT AIR;?;;;;;;
BY;BRITANNIA AIRWAYS;?;;;;;;
BA;BRITISH AIRWAYS;125;;;;;;
UR;BRITISH INTERNATIONAL HELICOPTERS;?;;;;;;
KJ;BRITISH MEDITERRANEAN AIRWAYS;?;;;;;;
VF;BRITISH WORLD AIRLINES;169;;;;;;
3Y;BRITRAIL;?;;;;;;
SN;BRUSSELS AIRLINES;220;;;;;;
BC;BRYMON AVIATION;?;;;;;;
BSP;BSP - MULTAS/ISS/CPMF;954;;;;;;
J4;BUFFALO AIRWAYS;?;;;;;;
FB;Bulgaria Air;169;;;;;;
DN;BULGARIAN LUCKY FLIGHT;169;;;;;;
8W;BURLINGTON AIR EXPRESS;?;;;;;;
II;BUSINESS AIR;?;;;;;;
5E;BUSINESS AVIATION SERVICES;?;;;;;;
HQ;BUSINESS EXPRESS;?;;;;;;
KG;CALEDONIAN AIRWAYS;?;;;;;;
MO;CALM AIR INTERNATIONAL LTD.;?;;;;;;
K6;Cambodia Angkor Air;169;;;;;;
BD;Cambodia Bayon Airlines;169;;;;;;
UY;CAMEROON AIRLINES;?;;;;;;
2T;CANADA 3000 AIRLINES;?;;;;;;
4A;CANADIAN EAGLE AIRLINES LTD.;?;;;;;;
9K;CAPE AIR;169;;;;;;
NS;CAPE YORK AIR SERVICE;?;;;;;;
B9;CARIBAIR;?;;;;;;
B8;CARIBBEAN AIRLINES;?;;;;;;
BW;Caribbean Airlines;169;;;;;;
KW;CARNIVAL AIRLINES;?;;;;;;
V3;CARPATAIR S.A;169;;;;;;
XP;CASINO EXPRESS;?;;;;;;
CX;CATHAY PACIFIC AIRWAYS;169;;;;;;
KX;CAYMAN AIRWAYS;169;;;;;;
ED;CCAIR INC.;?;;;;;;
5J;CEBU PACIFIC AIR;?;;;;;;
5Z;CemAir;169;;;;;;
3B;CENTRAL CONNECT AIRLINES JOBAIR;169;;;;;;
9M;CENTRAL MOUNTAIN AIR;?;;;;;;
M6;CHALAIR;?;;;;;;
MG;CHAMPION AIR;?;;;;;;
H6;CHELIABINSK AIR ENTERPRISE;?;;;;;;
C8;CHICAGO EXPRESS AIRLINES;?;;;;;;
CI;CHINA AIRLINES;169;;;;;;
MU;CHINA EASTERN AIRLINES;169;;;;;;
CJ;CHINA NORTHERN AIRLINES;?;;;;;;
CZ;CHINA SOUTHERN;784;;;;;;
KN;CHINA UNITED AIRLINES;900;;;;;;
QI;CIMBER AIR;169;;;;;;
FD;CITYFLYER EXPRESS;900;;;;;;
WX;CityJet;169;;;;;;
CC;CMAIRLINES;169;;;;;;
BX;COAST AIR;?;;;;;;
DQ;COASTAL AIR TRANSPORT;?;;;;;;
CQ;Coastal Aviation;169;;;;;;
YG;COCESNA;?;;;;;;
CS;codeshare;?;;;;;;
9L;COLGAN AIR;?;;;;;;
I5;COMPAGNIE AERIENNE DU MALI;169;;;;;;
C9;COMPAGNIE AERONAUTIQUE EUROPEENNE;?;;;;;;
CF;COMPANIA DE AVIACION FAUCETT;?;;;;;;
CP;COMPASS AIRLINES;?;;;;;;
DE;CONDOR FLUGDIENST;881;;;;;;
5C;CONQUEST AIRLINES;169;;;;;;
DD;CONTI-FLUG GMBH;?;;;;;;
CO;CONTINENTAL AIRLINES;5;;;;;;
V0;CONVIASA;169;;;;;;
VO;CONVIASA;900;;;;;;
CM;COPA AIRLINES;230;;;;;;
R8;CORPORATE CHARTER SERVICE;?;;;;;;
3C;CORPORATE EXPRESS AIRLINES;?;;;;;;
SS;Corsair International;169;;;;;;
OU;CROATIA AIRLINES;169;;;;;;
X5;CRONUS AIRLINES;?;;;;;;
VCR;CRUISER LINHAS AEREAS;299;;;;;;
VCR;CRUISER LINHAS AEREAS;990;;;;;;
CUR;CRUISER LINHAS AEREAS;991;;;;;;
OK;CSA Czech Airlines;169;;;;;;
CU;CUBANA DE AVIACION;169;;;;;;
CY;CYPRUS AIRWAYS;169;;;;;;
D3;DAALLO AIRLINES;?;;;;;;
6P;DAC AIR;?;;;;;;
DX;DANISH AIR TRANSPORT;?;;;;;;
0D;DARWIN AIRLINES;169;;;;;;
2G;DEBONAIR AIRWAYS;?;;;;;;
DL;DELTA AIR LINES;6;;;;;;
DL;DELTA AIR LINES BNU;6;;;;;;
DL;DELTA AIR LINES INC.;6;;;;;;
DL;DELTA AIR LINES JOI;6;;;;;;
DI;DEUTSCHE BA;?;;;;;;
2A;DEUTSCHE BAHN;?;;;;;;
ER;DHL AIRWAYS;?;;;;;;
9X;DIAMOND INTERNATIONAL AIRLINES;?;;;;;;
D8;DIAMOND SKHA AIRLINES;?;;;;;;
D7;DINAR LINEAS AEREAS;?;;;;;;
Z6;DNIEPROAVIA STATE AVIATION;169;;;;;;
YU;DOMINAIR;?;;;;;;
E3;DOMODEDOVO AIRLINES;?;;;;;;
D9;DONAVIA;?;;;;;;
KA;DRAGON AIR;169;;;;;;
KB;DRUK-AIR;?;;;;;;
QG;DYNAMIC AIR;?;;;;;;
2D;DYNAMIC AIRWAYS;169;;;;;;
ZN;EAGLE AIRLINES;?;;;;;;
Y4;EAGLE AVIATION;900;;;;;;
FE;EAGLE CANYON AIRLINES;?;;;;;;
B5;East African Safari Air Ex;169;;;;;;
4S;EAST WEST AIRLINES;?;;;;;;
EA;EASTERN AIR LINES INC.;?;;;;;;
T3;EASTERN AIRWAYS;169;;;;;;
U2;EASYJET;900;;;;;;
LC;ECAIR Equatorial Congo Air;169;;;;;;
8Y;ECUATO GUINEANA DE AVIACION;?;;;;;;
EU;ECUATORIANA;?;;;;;;
W2;EFATA PAPUA;365;;;;;;
MS;EGYPTAIR;169;;;;;;
LY;EL AL ISRAEL AIRLINES;114;;;;;;
